Description,Total_Quantity_Sold,Total_Orders,Total_Revenue,Avg_Daily_Demand,Reorder_Point
  DOORMAT UNION JACK GUNS AND ROSES,167,51,1071.25,5.566666666666666,38.96666666666667
 3 STRIPEY MICE FELTCRAFT,662,112,1241.1,22.066666666666666,154.46666666666667
 4 PURPLE FLOCK DINNER CANDLES,324,51,495.15999999999997,10.8,75.60000000000001
 50'S CHRISTMAS GIFT BAG LARGE,1885,109,2272.25,62.833333333333336,439.83333333333337
 ANIMAL STICKERS,385,12,80.85,12.833333333333334,89.83333333333334
 BLACK PIRATE TREASURE CHEST,45,13,74.25,1.5,10.5
 BROWN  PIRATE TREASURE CHEST ,36,7,59.39999999999999,1.2,8.4
 Bank Charges,2,2,30.0,0.06666666666666667,0.4666666666666667
 CAMPHOR WOOD PORTOBELLO MUSHROOM,43,7,53.75,1.4333333333333333,10.033333333333333
 CHERRY BLOSSOM  DECORATIVE FLASK,308,26,1068.6000000000001,10.266666666666667,71.86666666666667
 DOLLY GIRL BEAKER,2394,133,2754.5,79.8,558.6
 FAIRY CAKE CANDLES,153,2,202.05,5.1,35.699999999999996
 FLAMINGO LIGHTS,335,46,1523.8500000000001,11.166666666666666,78.16666666666666
 HOME SWEET HOME  BLACKBOARD,117,33,722.31,3.9,27.3
 I LOVE LONDON MINI BACKPACK,359,68,1449.8500000000001,11.966666666666667,83.76666666666667
 I LOVE LONDON MINI RUCKSACK,1,1,4.15,0.03333333333333333,0.23333333333333334
 IVORY PAPER CUP CAKE CASES ,1146,23,521.1,38.2,267.40000000000003
 LARGE SKULL WINDMILL,8,2,16.8,0.26666666666666666,1.8666666666666667
 NEW BAROQUE BLACK BOXES,6,3,76.5,0.2,1.4000000000000001
 NINE DRAWER OFFICE TIDY,54,30,777.9,1.8,12.6
 OVAL WALL MIRROR DIAMANTE ,139,67,1239.05,4.633333333333334,32.43333333333334
 PAINT YOUR OWN CANVAS SET,480,17,724.8,16.0,112.0
 PEACE WOODEN BLOCK LETTERS,133,47,917.15,4.433333333333334,31.033333333333335
 RED SPOT GIFT BAG LARGE,1686,92,2023.5,56.2,393.40000000000003
 RED/WHITE DOT MINI CASES,478,138,3528.18,15.933333333333334,111.53333333333333
 RIDGED GLASS T-LIGHT HOLDER,940,12,531.8000000000001,31.333333333333332,219.33333333333331
 SET 2 TEA TOWELS I LOVE LONDON ,3511,331,9726.85,117.03333333333333,819.2333333333333
 SET Of 6 SOLDIER SKITTLES,16,3,60.0,0.5333333333333333,3.7333333333333334
 SILVER CHERRY LIGHTS,264,35,1594.8000000000002,8.8,61.60000000000001
 SILVER T-LIGHT SETTING,37,15,240.15,1.2333333333333334,8.633333333333333
 SPACEBOY BABY GIFT SET,449,142,7048.549999999999,14.966666666666667,104.76666666666667
 STAR  T-LIGHT HOLDER ,20,4,28.999999999999996,0.6666666666666666,4.666666666666666
 TOADSTOOL BEDSIDE LIGHT ,2,1,17.9,0.06666666666666667,0.4666666666666667
 TRELLIS COAT RACK,217,46,1016.5500000000001,7.233333333333333,50.63333333333333
 VINTAGE DESIGN GIFT TAGS,244,20,207.39999999999998,8.133333333333333,56.93333333333333
 WHITE BAMBOO RIBS LAMPSHADE,210,7,148.26,7.0,49.0
 WHITE CHERRY LIGHTS,1986,215,11697.300000000001,66.2,463.40000000000003
10 COLOUR SPACEBOY PEN,11892,472,9878.099999999999,396.4,2774.7999999999997
11 PC CERAMIC TEA SET POLKADOT,3,1,14.850000000000001,0.1,0.7000000000000001
12 ASS ZINC CHRISTMAS DECORATIONS,429,45,900.9000000000001,14.3,100.10000000000001
12 COLOURED PARTY BALLOONS,4157,255,2637.85,138.56666666666666,969.9666666666667
12 DAISY PEGS IN WOOD BOX,895,178,1476.7499999999998,29.833333333333332,208.83333333333331
12 EGG HOUSE PAINTED WOOD,475,143,5176.67,15.833333333333334,110.83333333333334
12 HANGING EGGS HAND PAINTED,40,7,83.2,1.3333333333333333,9.333333333333332
12 IVORY ROSE PEG PLACE SETTINGS,2377,228,2882.33,79.23333333333333,554.6333333333333
12 MESSAGE CARDS WITH ENVELOPES,2960,346,4716.0,98.66666666666667,690.6666666666667
12 MINI TOADSTOOL PEGS,465,88,581.25,15.5,108.5
12 PENCIL SMALL TUBE WOODLAND,9091,514,5776.55,303.03333333333336,2121.2333333333336
12 PENCILS SMALL TUBE POSY,518,64,336.70000000000005,17.266666666666666,120.86666666666666
12 PENCILS SMALL TUBE RED RETROSPOT,9493,459,6111.650000000001,316.43333333333334,2215.0333333333333
12 PENCILS SMALL TUBE RED SPOTTY,7997,304,4998.05,266.56666666666666,1865.9666666666667
12 PENCILS SMALL TUBE SKULL,12699,684,8049.150000000001,423.3,2963.1
12 PENCILS TALL TUBE POSY,5821,225,1887.29,194.03333333333333,1358.2333333333333
12 PENCILS TALL TUBE RED RETROSPOT,3807,336,3229.7099999999996,126.9,888.3000000000001
12 PENCILS TALL TUBE RED SPOTTY,2239,210,1878.1899999999998,74.63333333333334,522.4333333333334
12 PENCILS TALL TUBE SKULLS,4601,487,3899.93,153.36666666666667,1073.5666666666666
12 PENCILS TALL TUBE WOODLAND,4431,427,3691.47,147.7,1033.8999999999999
12 PINK HEN+CHICKS IN BASKET,90,34,229.49999999999997,3.0,21.0
12 PINK ROSE PEG PLACE SETTINGS,1458,115,1733.58,48.6,340.2
12 RED ROSE PEG PLACE SETTINGS,1154,182,1433.38,38.46666666666667,269.26666666666665
15 PINK FLUFFY CHICKS IN BOX,29,20,85.55000000000001,0.9666666666666667,6.766666666666667
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2525,432,18618.75,84.16666666666667,589.1666666666667
16 PC CUTLERY SET PANTRY DESIGN,4,1,63.8,0.13333333333333333,0.9333333333333333
16 PIECE CUTLERY SET PANTRY DESIGN,210,46,3018.2999999999997,7.0,49.0
18PC WOODEN CUTLERY SET DISPOSABLE,503,24,595.15,16.766666666666666,117.36666666666666
2 DAISIES HAIR COMB,18,3,53.10000000000001,0.6,4.2
2 PICTURE BOOK EGGS EASTER BUNNY,718,57,732.5,23.933333333333334,167.53333333333333
2 PICTURE BOOK EGGS EASTER CHICKS,718,51,732.5,23.933333333333334,167.53333333333333
2 PICTURE BOOK EGGS EASTER DUCKS,663,48,663.75,22.1,154.70000000000002
20 DOLLY PEGS RETROSPOT,5385,431,6568.75,179.5,1256.5
