ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-12-01,830146.5250781649,685517.4101619507,703857.3058656761,830146.5250781649,830146.5250781649,-135511.66976058745,-135511.66976058745,-135511.66976058745,-135511.66976058745,-135511.66976058745,-135511.66976058745,0.0,0.0,0.0,694634.8553175775
2010-01-01,814189.8589878419,542975.6522156136,561120.0391466818,814189.8589878419,814189.8589878419,-261673.6855988801,-261673.6855988801,-261673.6855988801,-261673.6855988801,-261673.6855988801,-261673.6855988801,0.0,0.0,0.0,552516.1733889617
2010-02-01,798233.1926396156,489139.74438102654,507365.69308309996,798233.1926396156,798233.1926396156,-299871.1886950328,-299871.1886950328,-299871.1886950328,-299871.1886950328,-299871.1886950328,-299871.1886950328,0.0,0.0,0.0,498362.00394458283
2010-03-01,783758.8469517127,681195.8630662066,698646.1883664678,783758.8469517127,783758.8469517127,-93407.96312569233,-93407.96312569233,-93407.96312569233,-93407.96312569233,-93407.96312569233,-93407.96312569233,0.0,0.0,0.0,690350.8838260204
2010-04-01,767710.6111828077,578250.4249364488,597008.2615210807,767710.6111828077,767710.6111828077,-180199.49870316221,-180199.49870316221,-180199.49870316221,-180199.49870316221,-180199.49870316221,-180199.49870316221,0.0,0.0,0.0,587511.1124796455
2010-05-01,752176.4101313844,587713.8692921153,604594.9307722298,752176.4101313844,752176.4101313844,-156041.83508078544,-156041.83508078544,-156041.83508078544,-156041.83508078544,-156041.83508078544,-156041.83508078544,0.0,0.0,0.0,596134.5750505989
2010-06-01,736124.4021801286,629120.9160948343,646407.1085208583,736124.4021801286,736124.4021801286,-98345.18236187777,-98345.18236187777,-98345.18236187777,-98345.18236187777,-98345.18236187777,-98345.18236187777,0.0,0.0,0.0,637779.2198182509
2010-07-01,720590.2010778118,584214.5908870071,602808.6151575336,720590.2010778118,720590.2010778118,-126923.17501485228,-126923.17501485228,-126923.17501485228,-126923.17501485228,-126923.17501485228,-126923.17501485228,0.0,0.0,0.0,593667.0260629595
2010-08-01,704538.3042174308,598949.5032570577,616647.321650913,704538.3042174308,704538.3042174308,-97015.62512661358,-97015.62512661358,-97015.62512661358,-97015.62512661358,-97015.62512661358,-97015.62512661358,0.0,0.0,0.0,607522.6790908172
2010-09-01,709015.7925231287,825888.2036862392,844239.651438257,709015.7925231287,709015.7925231287,125717.27639047525,125717.27639047525,125717.27639047525,125717.27639047525,125717.27639047525,125717.27639047525,0.0,0.0,0.0,834733.0689136039
